time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1681731007999192800,-0.16880712890625,78.25063882861286,0.307972206397111,-1,51.877213573418985,21.660638676024973,-1,4.7702412529503695,3.327061078705849,-8.485067428579265,0
1681731008999184600,0.8311845703125,78.25063882861286,0.307972206397111,-1,51.877213573418985,21.660638676024973,-1,4.7697751002934865,3.3277293347580263,-8.485067428579265,0
1681731009999175400,1.831175537109375,78.25063882861286,0.307972206397111,-1,51.877213573418985,21.660638676024973,-1,4.76844208755332,3.329639183220753,-8.485067428579265,0
1681731010999166200,2.831166259765625,78.25063882861286,0.307972206397111,-1,51.877213573418985,21.660638676024973,-1,4.7675261867196275,3.3309504787269724,-8.485067428579265,0
1681731011999157500,3.831157470703125,78.25063882861286,0.307972206397111,-1,51.877213573418985,21.660638676024973,-1,4.766661040329491,3.332188403946243,-8.485067428579265,0
1681731012999148800,4.831148681640625,78.25063882861286,0.307972206397111,-1,51.877213573418985,21.660638676024973,-1,4.765919026957748,3.333249594805487,-8.485067428579265,0
1681731013999139300,5.831139404296875,78.22257964964956,1.2619755720161925,-1,51.877218872263064,21.63257949706167,-1,4.774410038461717,3.3210760029582005,-8.485089337077838,0.002781501334785509
1681731014999130000,6.831130126953125,78.23639045935124,1.44203873346098,-1,51.877212671671856,21.64639030676335,-1,4.802976085529129,3.279627685366759,-8.485079271212928,0.48107783005397015
1681731015999122200,7.8311220703125,78.18200393766165,1.3361058789267775,-1,51.877206954530536,21.592003785073757,-1,4.809540463151837,3.269993511628739,-8.48507060400997,0.5884892695501381
1681731016999878100,8.831878173828125,78.18479667138308,1.2306785920311618,-1,51.877201767448796,21.594796518795192,-1,4.812501968750284,3.265633450582517,-8.485062460530335,0
1681731017999883300,9.83188330078125,78.23044847138226,1.3333398035518336,-1,51.87719611847613,21.64044831879437,-1,4.810012301323297,3.269299419433375,-8.485052721495531,0.5600543089695574
1681731018999875800,10.831875732421874,78.30039201956242,1.1343436768859774,68.65896435086493,51.877186583351005,21.710391866974533,109.72353834098898,4.802862770170347,3.2797936282181612,-8.485029432744511,0.8741207441182776
1681731019999878000,11.8318779296875,78.18109049648046,1.7657173953451903,121.33035489647334,51.8771775287211,21.591090343892574,116.12081152027015,4.799563463749866,3.284619854751266,-8.485017081972877,0.8043125618702295
1681731020999885000,12.831885009765625,78.05252683069557,1.7284359450863613,106.72060999055503,51.87717216164096,21.46252667810768,116.797460572299,4.797444458113465,3.2877140544921546,-8.485002284750735,0.9013900552350138
1681731021999882200,13.83188232421875,77.95634187664837,1.7321130784140908,122.47300493431909,51.8771656579443,21.366341724060476,124.54302012338565,4.798479976916521,3.286202511093931,-8.484994282373725,0.789543938132729
1681731022999895300,14.831895263671875,77.89721713867038,1.3073671299281613,-1,51.877163639075654,21.307216986082494,-1,4.792687687926618,3.2946444055141124,-8.484992030673338,0.6132099580036121
1681731023999899000,15.83189892578125,77.8150697639212,1.0898926115966552,180,51.8771571181893,21.22506961133331,123.93021275517434,4.789544137906517,3.2992126308915215,-8.484983028364603,0
1681731024999895600,16.8318955078125,77.75981519091874,1.2237044376007364,180,51.87715232108536,21.169815038330853,121.00637919870951,4.791277051405204,3.296695504511556,-8.484972954553603,0
1681731025999906600,17.831906494140625,77.75981519091874,0.48195611681464473,180,51.87715232108536,21.169815038330853,121.00637919870951,4.781457269844355,3.31092183680639,-8.484972954553603,0
1681731026999907600,18.831907470703126,77.7442903406918,1.6720483918067657,135.03964235309076,51.87713966416707,21.154290188103914,127.63236221766543,4.787058646156651,3.302817971224828,-8.484948068155258,0.7008128478303995
1681731027999901000,19.83190087890625,77.82936543785036,1.7071840291181712,99.7192451194039,51.87713855234866,21.239365285262465,119.69607471891979,4.790170217850501,3.298303551343768,-8.484937653364517,0.965133154411121
1681731028999912400,20.831912353515627,77.99355513136834,1.6800951970605884,91.98153870001778,51.87713370700943,21.40355497878045,120.37937145366499,4.789411405790748,3.2994053129117575,-8.484926999930467,1.0359361627984214
1681731029999918300,21.83191845703125,77.98120211344212,1.3076819296800524,-1,51.87713610189489,21.391201960854232,-1,4.789826659280284,3.2988024504108613,-8.484931316809249,0.57063630648436
1681731030999917600,22.83191748046875,78.03427680861205,1.1514170180662142,-1,51.877138267371194,21.444276656024158,-1,4.789731076006413,3.2989412320208555,-8.484929783018996,0.06354864871643191
1681731031999915000,23.8319150390625,78.02740778122097,1.2890293887159847,-1,51.877138739938644,21.437407628633082,-1,4.790241833002539,3.298199541286323,-8.484931756598225,0.029790982253590125
1681731032999913200,24.831913330078127,78.18740708380938,0.6888211672543219,-1,51.877141741895244,21.597406931221485,-1,4.786019362035752,3.3043237884637953,-8.484934720957257,0
1681731033999911400,25.831911376953126,78.18740708380938,0.307972206397111,-1,51.877141741895244,21.597406931221485,-1,4.774577117004741,3.320835796386737,-8.484934720957257,0
1681731034999908000,26.831908203125,78.18740708380938,0.307972206397111,-1,51.877141741895244,21.597406931221485,-1,4.769542664342916,3.3280624702372266,-8.484934720957257,0
1681731035999905000,27.831905029296873,78.18740708380938,0.307972206397111,-1,51.877141741895244,21.597406931221485,-1,4.765998985202157,3.333135266658232,-8.484934720957257,0
1681731036999901700,28.831901611328124,78.18740708380938,0.307972206397111,-1,51.877141741895244,21.597406931221485,-1,4.7620241142981214,3.3388116699855988,-8.484934720957257,0
